Data_type,Region,Subnational,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: Local Government Debt Outstanding: Special: Hebei: Langfang,China,Langfang,"Annual, ending ""Dec"" of each year",RMB mn,Langfang Municipal Bureau of Statistics,Active,477096897 (CFBDDZ),SR163601117,,,,2018,2021,18/08/2022,,,27118.750,277731964.917,16665.292,0.716,-1.999,0.615,13401.000,48326.000,23374.000,4,,,,,,,,,,,,,,,,,,,,13401.000,14230.000,32518.000,48326.000,
CN: Local Government Debt Outstanding: Special: Hebei: Hengshui,China,Hengshui,"Annual, ending ""Dec"" of each year",RMB mn,Hengshui Municipal Bureau of Statistics,Active,477096907 (CFBDEA),SR163601127,,,,2018,2021,18/08/2022,,,18020.750,81922605.583,9051.111,0.948,0.397,0.502,9369.000,30187.000,16263.500,4,,,,,,,,,,,,,,,,,,,,9369.000,13372.000,19155.000,30187.000,
CN: Local Government Debt Outstanding: Special: Shanxi: Taiyuan,China,Taiyuan,"Annual, ending ""Dec"" of each year",RMB mn,Taiyuan Municipal Bureau of Statistics,Active,477096917 (CFBDEB),SR163601137,,,,2018,2020,20/04/2022,,,34685.137,53374652.398,7305.796,0.217,,0.211,27562.490,42161.250,34331.670,3,,,,,,,,,,,,,,,,,,,,27562.490,34331.670,42161.250,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Hohhot,China,Hohhot,"Annual, ending ""Dec"" of each year",RMB mn,Hohhot Municipal Bureau of Statistics,Active,477097027 (CFBDEM),SR163601247,,,,2018,2019,20/04/2022,,,34036.080,3651699.075,1910.942,,,0.056,32684.840,35387.320,34036.080,2,,,,,,,,,,,,,,,,,,,,32684.840,35387.320,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Baotou,China,Baotou,"Annual, ending ""Dec"" of each year",RMB mn,Baotou Municipal Bureau of Statistics,Active,477097037 (CFBDEN),SR163601257,,,,2018,2019,20/04/2022,,,27077.185,4775626.030,2185.321,,,0.081,25531.930,28622.440,27077.185,2,,,,,,,,,,,,,,,,,,,,25531.930,28622.440,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Wuhai,China,Wuhai,"Annual, ending ""Dec"" of each year",RMB mn,Wuhai Municipal Bureau of Statistics,Active,477097047 (CFBDEO),SR163601267,,,,2018,2019,20/04/2022,,,2863.720,149058.000,386.080,,,0.135,2590.720,3136.720,2863.720,2,,,,,,,,,,,,,,,,,,,,2590.720,3136.720,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Chifeng,China,Chifeng,"Annual, ending ""Dec"" of each year",RMB mn,Chifeng Municipal Bureau of Statistics,Active,477097057 (CFBDEP),SR163601277,,,,2018,2019,20/04/2022,,,13962.670,10269512.000,3204.608,,,0.230,11696.670,16228.670,13962.670,2,,,,,,,,,,,,,,,,,,,,11696.670,16228.670,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Tongliao,China,Tongliao,"Annual, ending ""Dec"" of each year",RMB mn,Tongliao Municipal Bureau of Statistics,Active,477097067 (CFBDEQ),SR163601287,,,,2018,2019,20/04/2022,,,6658.985,3497457.072,1870.149,,,0.281,5336.590,7981.380,6658.985,2,,,,,,,,,,,,,,,,,,,,5336.590,7981.380,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Erdos,China,Erdos,"Annual, ending ""Dec"" of each year",RMB mn,Erdos Municipal Bureau of Statistics,Active,477097077 (CFBDER),SR163601297,,,,2018,2019,20/04/2022,,,5420.370,5372642.000,2317.896,,,0.428,3781.370,7059.370,5420.370,2,,,,,,,,,,,,,,,,,,,,3781.370,7059.370,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Hulunbeier,China,Hulunbeier,"Annual, ending ""Dec"" of each year",RMB mn,Hulunbeier Municipal Bureau of Statistics,Active,477097087 (CFBDES),SR163601307,,,,2018,2019,20/04/2022,,,6642.155,1803841.186,1343.072,,,0.202,5692.460,7591.850,6642.155,2,,,,,,,,,,,,,,,,,,,,5692.460,7591.850,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Bayannaoer,China,Bayannaoer,"Annual, ending ""Dec"" of each year",RMB mn,Bayannaoer Municipal Bureau of Statistics,Active,477097097 (CFBDET),SR163601317,,,,2018,2019,20/04/2022,,,5506.905,1004100.376,1002.048,,,0.182,4798.350,6215.460,5506.905,2,,,,,,,,,,,,,,,,,,,,4798.350,6215.460,,,
CN: Local Government Debt Outstanding: Special: Inner Mongolia: Wulanchabu,China,Wulanchabu,"Annual, ending ""Dec"" of each year",RMB mn,Wulanchabu Municipal Bureau of Statistics,Active,477097107 (CFBDEU),SR163601327,,,,2018,2019,20/04/2022,,,9213.110,5855315.763,2419.776,,,0.263,7502.070,10924.150,9213.110,2,,,,,,,,,,,,,,,,,,,,7502.070,10924.150,,,
CN: Local Government Debt Outstanding: Special: Liaoning: Shenyang,China,Shenyang,"Annual, ending ""Dec"" of each year",RMB mn,Shenyang Municipal Bureau of Statistics,Active,477097117 (CFBDEV),SR163601337,,,,2016,2021,13/10/2022,,,80673.843,6500342.746,2549.577,-0.826,0.944,0.032,76384.110,83680.890,80853.610,6,,,,,,,,,,,,,,,,,,82565.000,80364.000,76384.110,79705.840,81343.220,83680.890,
CN: Local Government Debt Outstanding: Special: Liaoning: Dalian,China,Dalian,"Annual, ending ""Dec"" of each year",RMB mn,Dalian Municipal Bureau of Statistics,Active,477097127 (CFBDEW),SR163601347,,,,2016,2021,13/10/2022,,,69759.008,64651705.040,8040.628,2.160,4.917,0.115,63670.760,85724.720,66660.000,6,,,,,,,,,,,,,,,,,,66630.000,66290.000,66690.000,63670.760,69548.570,85724.720,
CN: Local Government Debt Outstanding: Special: Liaoning: Anshan,China,Anshan,"Annual, ending ""Dec"" of each year",RMB mn,Anshan Municipal Bureau of Statistics,Active,477097137 (CFBDEX),SR163601357,,,,2017,2021,13/10/2022,,,32068.352,5616096.332,2369.830,0.068,-1.963,0.074,29570.000,35089.100,32562.840,5,,,,,,,,,,,,,,,,,,,29780.000,29570.000,32562.840,33339.820,35089.100,
CN: Local Government Debt Outstanding: Special: Liaoning: Fushun,China,Fushun,"Annual, ending ""Dec"" of each year",RMB mn,Fushun Municipal Bureau of Statistics,Active,477097147 (CFBDEY),SR163601367,,,,2017,2021,13/10/2022,,,5128.742,861754.274,928.307,0.873,-1.621,0.181,4370.000,6447.260,4578.240,5,,,,,,,,,,,,,,,,,,,4480.000,4370.000,4578.240,5768.210,6447.260,
CN: Local Government Debt Outstanding: Special: Liaoning: Benxi,China,Benxi,"Annual, ending ""Dec"" of each year",RMB mn,Benxi Municipal Bureau of Statistics,Active,477097157 (CFBDEZ),SR163601377,,,,2017,2021,13/10/2022,,,8538.380,2898341.302,1702.452,0.999,-0.374,0.199,7060.000,11099.400,7863.100,5,,,,,,,,,,,,,,,,,,,7060.000,7260.000,7863.100,9409.400,11099.400,
CN: Local Government Debt Outstanding: Special: Liaoning: Dandong,China,Dandong,"Annual, ending ""Dec"" of each year",RMB mn,Dandong Municipal Bureau of Statistics,Active,477097167 (CFBDFA),SR163601387,,,,2017,2021,13/10/2022,,,3162.036,2770721.223,1664.548,0.006,-2.698,0.526,1420.000,5080.490,3248.340,5,,,,,,,,,,,,,,,,,,,1560.000,1420.000,3248.340,4501.350,5080.490,
CN: Local Government Debt Outstanding: Special: Liaoning: Jinzhou,China,Jinzhou,"Annual, ending ""Dec"" of each year",RMB mn,Jinzhou Municipal Bureau of Statistics,Active,477097177 (CFBDFB),SR163601397,,,,2017,2021,13/10/2022,,,4569.288,3147693.549,1774.174,0.650,-2.419,0.388,2940.000,6901.470,3673.490,5,,,,,,,,,,,,,,,,,,,2940.000,3310.000,3673.490,6021.480,6901.470,
CN: Local Government Debt Outstanding: Special: Liaoning: Yingkou,China,Yingkou,"Annual, ending ""Dec"" of each year",RMB mn,Yingkou Municipal Bureau of Statistics,Active,477097187 (CFBDFC),SR163601407,,,,2017,2021,13/10/2022,,,12568.230,9435553.280,3071.735,1.575,2.500,0.244,10180.000,17694.480,11714.830,5,,,,,,,,,,,,,,,,,,,10180.000,10350.000,11714.830,12901.840,17694.480,
CN: Local Government Debt Outstanding: Special: Liaoning: Fuxin,China,Fuxin,"Annual, ending ""Dec"" of each year",RMB mn,Fuxin Municipal Bureau of Statistics,Active,477097197 (CFBDFD),SR163601417,,,,2017,2021,13/10/2022,,,3522.904,578595.268,760.654,0.884,-1.358,0.216,2900.000,4616.830,3140.860,5,,,,,,,,,,,,,,,,,,,2940.000,2900.000,3140.860,4016.830,4616.830,
CN: Local Government Debt Outstanding: Special: Liaoning: Liaoyang,China,Liaoyang,"Annual, ending ""Dec"" of each year",RMB mn,Liaoyang Municipal Bureau of Statistics,Active,477097207 (CFBDFE),SR163601427,,,,2017,2021,13/10/2022,,,4750.424,9410426.795,3067.642,1.773,3.082,0.646,2690.000,9976.350,3413.630,5,,,,,,,,,,,,,,,,,,,2690.000,2690.000,3413.630,4982.140,9976.350,
CN: Local Government Debt Outstanding: Special: Liaoning: Panjin,China,Panjin,"Annual, ending ""Dec"" of each year",RMB mn,Panjin Municipal Bureau of Statistics,Active,477097217 (CFBDFF),SR163601437,,,,2017,2021,13/10/2022,,,10142.868,3550000.276,1884.144,0.068,1.234,0.186,7564.540,12784.900,10430.000,5,,,,,,,,,,,,,,,,,,,10430.000,10430.000,7564.540,9504.900,12784.900,
CN: Local Government Debt Outstanding: Special: Liaoning: Tieling,China,Tieling,"Annual, ending ""Dec"" of each year",RMB mn,Tieling Municipal Bureau of Statistics,Active,477097227 (CFBDFG),SR163601447,,,,2017,2021,13/10/2022,,,9912.852,14084963.568,3752.994,-0.503,-3.133,0.379,5620.000,13373.030,11683.280,5,,,,,,,,,,,,,,,,,,,6100.000,5620.000,11683.280,12787.950,13373.030,
CN: Local Government Debt Outstanding: Special: Liaoning: Chaoyang,China,Chaoyang,"Annual, ending ""Dec"" of each year",RMB mn,Chaoyang Municipal Bureau of Statistics,Active,477097237 (CFBDFH),SR163601457,,,,2017,2021,13/10/2022,,,7245.068,3817460.060,1953.832,0.472,-2.797,0.270,5250.000,9596.250,6286.140,5,,,,,,,,,,,,,,,,,,,5250.000,6020.000,6286.140,9072.950,9596.250,
CN: Local Government Debt Outstanding: Special: Liaoning: Huludao,China,Huludao,"Annual, ending ""Dec"" of each year",RMB mn,Huludao Municipal Bureau of Statistics,Active,477097247 (CFBDFI),SR163601467,,,,2017,2021,13/10/2022,,,4497.592,1497205.165,1223.603,0.758,-1.510,0.272,3341.660,6218.990,3967.010,5,,,,,,,,,,,,,,,,,,,3341.660,3641.310,3967.010,5318.990,6218.990,
CN: Local Government Debt Outstanding: Special: Jilin: Changchun,China,Changchun,"Annual, ending ""Dec"" of each year",RMB mn,Changchun Municipal Bureau of Statistics,Active,477097257 (CFBDFJ),SR163601477,,,,2015,2020,20/04/2022,,,56549.102,271386817.802,16473.822,1.449,1.279,0.291,45090.000,85826.000,48408.805,6,,,,,,,,,,,,,,,,,45484.610,45090.000,45348.000,51333.000,66213.000,85826.000,,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Harbin,China,Harbin,"Annual, ending ""Dec"" of each year",RMB mn,Harbin Municipal Bureau of Statistics,Active,477097337 (CFBDFR),SR163601557,,,,2017,2021,08/09/2022,,,83158.300,511806441.591,22623.140,0.371,-1.812,0.272,57832.710,112644.560,77539.530,5,,,,,,,,,,,,,,,,,,,57832.710,68016.510,77539.530,99758.190,112644.560,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Qiqihar,China,Qiqihar,"Annual, ending ""Dec"" of each year",RMB mn,Qiqihar Municipal Bureau of Statistics,Active,477097347 (CFBDFS),SR163601567,,,,2017,2021,28/09/2022,,,4759.038,14652649.320,3827.878,0.174,-1.264,0.804,310.000,9845.640,5215.500,5,,,,,,,,,,,,,,,,,,,310.000,1748.660,5215.500,6675.390,9845.640,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Jixi,China,Jixi,"Annual, ending ""Dec"" of each year",RMB mn,Jixi Municipal Bureau of Statistics,Active,477097357 (CFBDFT),SR163601577,,,,2017,2021,28/09/2022,,,1739.756,1760770.671,1326.940,1.390,1.138,0.763,723.520,3874.770,981.590,5,,,,,,,,,,,,,,,,,,,723.520,922.180,981.590,2196.720,3874.770,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Hegang,China,Hegang,"Annual, ending ""Dec"" of each year",RMB mn,Hegang Municipal Bureau of Statistics,Active,477097367 (CFBDFU),SR163601587,,,,2017,2021,28/09/2022,,,1670.820,1093864.711,1045.880,0.746,-0.354,0.626,583.290,3206.460,1463.570,5,,,,,,,,,,,,,,,,,,,583.290,932.900,1463.570,2167.880,3206.460,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Shuangyashan,China,Shuangyashan,"Annual, ending ""Dec"" of each year",RMB mn,Shuangyashan Municipal Bureau of Statistics,Active,477097377 (CFBDFV),SR163601597,,,,2017,2021,28/09/2022,,,2476.180,5088143.054,2255.691,1.273,1.272,0.911,477.890,6084.840,1802.270,5,,,,,,,,,,,,,,,,,,,477.890,902.430,1802.270,3113.470,6084.840,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Daqing,China,Daqing,"Annual, ending ""Dec"" of each year",RMB mn,Daqing Municipal Bureau of Statistics,Active,477097387 (CFBDFW),SR163601607,,,,2017,2021,28/09/2022,,,7017.750,4295430.276,2072.542,0.943,-0.503,0.295,5237.910,10109.020,6293.720,5,,,,,,,,,,,,,,,,,,,5237.910,5352.700,6293.720,8095.400,10109.020,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Yichun,China,Yichun,"Annual, ending ""Dec"" of each year",RMB mn,Yichun Municipal Bureau of Statistics,Active,477097397 (CFBDFX),SR163601617,,,,2017,2021,28/09/2022,,,1643.102,1252008.400,1118.932,0.569,1.689,0.681,226.070,3330.170,1583.020,5,,,,,,,,,,,,,,,,,,,226.070,1284.940,1583.020,1791.310,3330.170,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Jiamusi,China,Jiamusi,"Annual, ending ""Dec"" of each year",RMB mn,Jiamusi Municipal Bureau of Statistics,Active,477097407 (CFBDFY),SR163601627,,,,2017,2021,28/09/2022,,,3629.352,9922913.158,3150.066,1.099,0.559,0.868,732.760,8526.450,2717.620,5,,,,,,,,,,,,,,,,,,,732.760,1368.010,2717.620,4801.920,8526.450,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Qitaihe,China,Qitaihe,"Annual, ending ""Dec"" of each year",RMB mn,Qitaihe Municipal Bureau of Statistics,Active,477097417 (CFBDFZ),SR163601637,,,,2017,2021,28/09/2022,,,3031.578,8578677.057,2928.938,0.863,-0.762,0.966,228.450,7323.180,1890.870,5,,,,,,,,,,,,,,,,,,,228.450,1030.450,1890.870,4684.940,7323.180,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Mudanjiang,China,Mudanjiang,"Annual, ending ""Dec"" of each year",RMB mn,Mudanjiang Municipal Bureau of Statistics,Active,477097427 (CFBDGA),SR163601647,,,,2017,2021,28/09/2022,,,5436.488,8371650.291,2893.380,0.864,0.370,0.532,2431.380,9823.580,5045.290,5,,,,,,,,,,,,,,,,,,,2431.380,3430.220,5045.290,6451.970,9823.580,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Heihe,China,Heihe,"Annual, ending ""Dec"" of each year",RMB mn,Heihe Municipal Bureau of Statistics,Active,477097437 (CFBDGB),SR163601657,,,,2017,2021,28/09/2022,,,1819.224,3734955.817,1932.603,1.588,2.382,1.062,260.210,5040.040,1011.440,5,,,,,,,,,,,,,,,,,,,260.210,644.400,1011.440,2140.030,5040.040,
CN: Local Government Debt Outstanding: Special: Heilongjiang: Suihua,China,Suihua,"Annual, ending ""Dec"" of each year",RMB mn,Suihua Municipal Bureau of Statistics,Active,477097447 (CFBDGC),SR163601667,,,,2017,2021,28/09/2022,,,5250.706,9387301.423,3063.870,0.124,-1.798,0.584,1712.240,9145.630,5320.330,5,,,,,,,,,,,,,,,,,,,1712.240,2828.320,5320.330,7247.010,9145.630,
CN: Local Government Debt Outstanding: Special: Shanghai,China,Shanghai,"Annual, ending ""Dec"" of each year",RMB mn,Shanghai Municipal Bureau of Statistics,Active,477097457 (CFBDGD),SR163601677,,,,2015,2021,20/04/2022,,,283701.429,7941843380.952,89117.021,0.916,-1.063,0.314,207520.000,423650.000,239200.000,7,,,,,,,,,,,,,,,,,215800.000,207520.000,217070.000,239200.000,293440.000,389230.000,423650.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Nanjing,China,Nanjing,"Annual, ending ""Dec"" of each year",RMB mn,Nanjing Municipal Bureau of Statistics,Active,477097467 (CFBDGE),SR163601687,,,,2015,2021,18/08/2022,,,147804.729,556034043.716,23580.374,0.627,-1.531,0.160,124709.000,181966.000,139534.000,7,,,,,,,,,,,,,,,,,126279.100,124709.000,131498.000,139534.000,154733.000,175914.000,181966.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Wuxi,China,Wuxi,"Annual, ending ""Dec"" of each year",RMB mn,Wuxi Municipal Bureau of Statistics,Active,477097477 (CFBDGF),SR163601697,,,,2018,2021,18/08/2022,,,82060.500,494202255.000,22230.660,0.280,-2.233,0.271,58569.000,108556.000,80558.500,4,,,,,,,,,,,,,,,,,,,,58569.000,69970.000,91147.000,108556.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Xuzhou,China,Xuzhou,"Annual, ending ""Dec"" of each year",RMB mn,Xuzhou Municipal Bureau of Statistics,Active,477097487 (CFBDGG),SR163601707,,,,2017,2021,18/08/2022,,,44436.163,1115520102.770,33399.403,1.794,3.410,0.752,17934.690,101654.000,33429.730,5,,,,,,,,,,,,,,,,,,,17934.690,25348.397,33429.730,43814.000,101654.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Changzhou,China,Changzhou,"Annual, ending ""Dec"" of each year",RMB mn,Changzhou Municipal Bureau of Statistics,Active,477097497 (CFBDGH),SR163601717,,,,2017,2021,18/08/2022,,,65117.400,756310007.300,27501.091,0.257,-1.277,0.422,32500.000,101469.000,61893.000,5,,,,,,,,,,,,,,,,,,,32500.000,47123.000,61893.000,82602.000,101469.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Suzhou,China,Suzhou,"Annual, ending ""Dec"" of each year",RMB mn,Suzhou Municipal Bureau of Statistics,Active,477097507 (CFBDGI),SR163601727,,,,2017,2021,18/08/2022,,,78702.200,141588378.700,11899.092,0.176,-2.696,0.151,65851.000,92450.000,77035.000,5,,,,,,,,,,,,,,,,,,,65851.000,68862.000,77035.000,89313.000,92450.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Nantong,China,Nantong,"Annual, ending ""Dec"" of each year",RMB mn,Nantong Municipal Bureau of Statistics,Active,477097517 (CFBDGJ),SR163601737,,,,2017,2021,18/08/2022,,,81643.200,338824392.200,18407.183,0.434,-0.820,0.225,60447.000,107197.000,79055.000,5,,,,,,,,,,,,,,,,,,,60447.000,69696.000,79055.000,91821.000,107197.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Lianyungang,China,Lianyungang,"Annual, ending ""Dec"" of each year",RMB mn,Lianyungang Municipal Bureau of Statistics,Active,477097527 (CFBDGK),SR163601747,,,,2017,2021,18/08/2022,,,32183.840,86247440.800,9286.950,-0.148,-1.834,0.289,20335.320,42755.000,32031.540,5,,,,,,,,,,,,,,,,,,,20335.320,26123.430,32031.540,39673.910,42755.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Huaian,China,Huaian,"Annual, ending ""Dec"" of each year",RMB mn,Huaian Municipal Bureau of Statistics,Active,477097537 (CFBDGL),SR163601757,,,,2017,2021,18/08/2022,,,21831.600,59606831.300,7720.546,-0.235,-1.422,0.354,11736.000,30954.000,22679.000,5,,,,,,,,,,,,,,,,,,,11736.000,16768.000,22679.000,27021.000,30954.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Yancheng,China,Yancheng,"Annual, ending ""Dec"" of each year",RMB mn,Yancheng Municipal Bureau of Statistics,Active,477097547 (CFBDGM),SR163601767,,,,2017,2021,18/08/2022,,,58066.102,530372164.112,23029.810,-0.191,-1.845,0.397,28490.000,83887.000,58269.000,5,,,,,,,,,,,,,,,,,,,28490.000,42906.000,58269.000,76778.510,83887.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Yangzhou,China,Yangzhou,"Annual, ending ""Dec"" of each year",RMB mn,Yangzhou Municipal Bureau of Statistics,Active,477097557 (CFBDGN),SR163601777,,,,2017,2021,18/08/2022,,,45192.968,94767697.615,9734.870,-0.368,-1.051,0.215,31934.000,56480.000,46481.440,5,,,,,,,,,,,,,,,,,,,31934.000,39452.770,46481.440,51616.630,56480.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Zhenjiang,China,Zhenjiang,"Annual, ending ""Dec"" of each year",RMB mn,Zhenjiang Municipal Bureau of Statistics,Active,477097567 (CFBDGO),SR163601787,,,,2018,2021,18/08/2022,,,99879.250,2087151258.917,45685.351,-0.195,-2.151,0.457,46115.000,149461.000,101970.500,4,,,,,,,,,,,,,,,,,,,,46115.000,80713.000,123228.000,149461.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Taizhou,China,Taizhou,"Annual, ending ""Dec"" of each year",RMB mn,Taizhou Municipal Bureau of Statistics,Active,477097577 (CFBDGP),SR163601797,,,,2017,2021,18/08/2022,,,38570.000,108751445.000,10428.396,0.341,-1.333,0.270,26519.000,52503.000,36835.000,5,,,,,,,,,,,,,,,,,,,26519.000,31691.000,36835.000,45302.000,52503.000,
CN: Local Government Debt Outstanding: Special: Jiangsu: Suqian,China,Suqian,"Annual, ending ""Dec"" of each year",RMB mn,Suqian Municipal Bureau of Statistics,Active,477097587 (CFBDGQ),SR163601807,,,,2018,2021,18/08/2022,,,39985.375,135058195.229,11621.454,-0.360,-2.772,0.291,26108.000,51604.000,41114.750,4,,,,,,,,,,,,,,,,,,,,26108.000,34989.000,47240.500,51604.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Hangzhou,China,Hangzhou,"Annual, ending ""Dec"" of each year",RMB mn,Hangzhou Municipal Bureau of Statistics,Active,477097597 (CFBDGR),SR163601817,,,,2016,2021,22/07/2022,,,144507.208,1786916520.017,42271.935,0.904,0.179,0.293,102060.580,214445.000,136468.500,6,,,,,,,,,,,,,,,,,,102060.580,108519.670,126140.000,146797.000,169081.000,214445.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Ningbo,China,Ningbo,"Annual, ending ""Dec"" of each year",RMB mn,Ningbo Municipal Bureau of Statistics,Active,477097607 (CFBDGS),SR163601827,,,,2016,2021,13/09/2022,,,79545.160,890360275.809,29838.905,1.064,0.378,0.375,50807.500,129772.150,71027.140,6,,,,,,,,,,,,,,,,,,50807.500,56245.880,65547.330,76506.950,98391.150,129772.150,
CN: Local Government Debt Outstanding: Special: Zhejiang: Wenzhou,China,Wenzhou,"Annual, ending ""Dec"" of each year",RMB mn,Wenzhou Municipal Bureau of Statistics,Active,477097617 (CFBDGT),SR163601837,,,,2017,2021,18/08/2022,,,93131.285,1548609105.846,39352.371,0.939,0.308,0.423,52856.028,153015.000,82062.000,5,,,,,,,,,,,,,,,,,,,52856.028,68523.398,82062.000,109200.000,153015.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Jiaxing,China,Jiaxing,"Annual, ending ""Dec"" of each year",RMB mn,Jiaxing Municipal Bureau of Statistics,Active,477097627 (CFBDGU),SR163601847,,,,2017,2021,18/08/2022,,,56269.800,176853178.200,13298.616,0.735,-1.264,0.236,43058.000,75110.000,51033.000,5,,,,,,,,,,,,,,,,,,,43058.000,47402.000,51033.000,64746.000,75110.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Huzhou,China,Huzhou,"Annual, ending ""Dec"" of each year",RMB mn,Huzhou Municipal Bureau of Statistics,Active,477097637 (CFBDGV),SR163601857,,,,2017,2021,18/08/2022,,,26024.800,166218552.700,12892.577,1.350,1.354,0.495,15244.000,46797.000,21173.000,5,,,,,,,,,,,,,,,,,,,15244.000,17114.000,21173.000,29796.000,46797.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Shaoxing,China,Shaoxing,"Annual, ending ""Dec"" of each year",RMB mn,Shaoxing Municipal Bureau of Statistics,Active,477097647 (CFBDGW),SR163601867,,,,2017,2021,18/08/2022,,,66546.343,540802713.907,23255.165,0.551,-1.218,0.349,41950.913,98900.000,61888.000,5,,,,,,,,,,,,,,,,,,,41950.913,49423.800,61888.000,80569.000,98900.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Jinhua,China,Jinhua,"Annual, ending ""Dec"" of each year",RMB mn,Jinhua Municipal Bureau of Statistics,Active,477097657 (CFBDGX),SR163601877,,,,2017,2021,18/08/2022,,,42275.255,291977898.906,17087.361,0.350,-1.725,0.404,23186.276,64696.000,39164.000,5,,,,,,,,,,,,,,,,,,,23186.276,30100.000,39164.000,54230.000,64696.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Quzhou,China,Quzhou,"Annual, ending ""Dec"" of each year",RMB mn,Quzhou Municipal Bureau of Statistics,Active,477097667 (CFBDGY),SR163601887,,,,2018,2021,18/08/2022,,,24347.268,53995157.206,7348.140,-0.064,-0.471,0.302,15582.070,32930.000,24438.500,4,,,,,,,,,,,,,,,,,,,,15582.070,22043.000,32930.000,26834.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Zhoushan,China,Zhoushan,"Annual, ending ""Dec"" of each year",RMB mn,Zhoushan Municipal Bureau of Statistics,Active,477097677 (CFBDGZ),SR163601897,,,,2016,2021,15/11/2022,,,19207.833,20875371.367,4568.957,1.050,0.183,0.238,15130.000,26834.000,17870.000,6,,,,,,,,,,,,,,,,,,15130.000,15280.000,17080.000,18660.000,22263.000,26834.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Taizhou,China,Taizhou,"Annual, ending ""Dec"" of each year",RMB mn,Tai zhou Municipal Bureau of Statistics,Active,477097687 (CFBDHA),SR163601907,,,,2016,2021,15/11/2022,,,38009.438,455035734.378,21331.567,0.748,-0.618,0.561,15772.360,71415.000,33172.500,6,,,,,,,,,,,,,,,,,,15772.360,20271.270,28730.000,37615.000,54253.000,71415.000,
CN: Local Government Debt Outstanding: Special: Zhejiang: Lishui,China,Lishui,"Annual, ending ""Dec"" of each year",RMB mn,Lishui Municipal Bureau of Statistics,Active,477097697 (CFBDHB),SR163601917,,,,2018,2021,18/08/2022,,,27513.750,132030846.917,11490.468,0.717,-1.075,0.418,16530.000,42326.000,25599.500,4,,,,,,,,,,,,,,,,,,,,16530.000,20664.000,30535.000,42326.000,
CN: Local Government Debt Outstanding: Special: Anhui: Hefei,China,Hefei,"Annual, ending ""Dec"" of each year",RMB mn,Hefei Municipal Bureau of Statistics,Active,477097707 (CFBDHC),SR163601927,,,,2016,2021,18/08/2022,,,60616.058,739594849.103,27195.493,1.560,1.715,0.449,41804.100,109834.800,46898.840,6,,,,,,,,,,,,,,,,,,41804.100,42849.320,44581.000,49216.680,75410.450,109834.800,
