Province,Country,Region,Frequency,Unit,Source,Status,Series ID,SR Code,Trade Code,Mnemonic,Function Description,First Obs. Date,Last Obs. Date,Last Update Time,Series remarks,Suggestions,Mean,Variance,Standard Deviation,Skewness,Kurtosis,Coefficient Variation,Min,Max,Median,No. of Obs,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CN: GDP: Hainan: Haikou,China,Haikou,"Annual, ending ""Dec"" of each year",RMB bn,Haikou Municipal Bureau of Statistics,Active,146404201 (CAAHKQ),SR1926676,,,,1991,2022,29/01/2023,,,85.162,4216.833,64.937,0.605,-0.896,0.763,11.846,213.477,69.653,24,11.846,13.362,14.565,16.270,22.886,25.302,30.886,35.012,39.369,43.994,50.599,63.131,76.176,85.849,98.949,109.170,114.319,130.314,142.117,153.555,167.887,179.158,205.706,213.477
CN: GDP: Hainan: Sanya,China,Sanya,"Annual, ending ""Dec"" of each year",RMB bn,Sanya Municipal Bureau of Statistics,Active,146404301 (CAAHKR),SR1928075,,,,1991,2022,29/01/2023,,,31.772,737.043,27.149,0.620,-0.873,0.854,2.561,84.710,26.263,24,2.561,2.954,3.186,3.588,4.117,4.823,7.193,10.926,12.232,14.928,18.367,23.877,28.650,32.482,36.589,40.226,44.119,49.306,54.610,62.227,67.786,69.541,83.537,84.710
CN: GDP: Hainan: Danzhou,China,Danzhou,"Annual, ending ""Dec"" of each year",RMB bn,Danzhou Municipal Bureau of Statistics,Active,409034857 (CAATJQ),SR136746407,,,,2005,2022,03/02/2023,,,27.875,368.392,19.194,2.320,7.031,0.689,7.296,87.891,23.767,15,,,,,,,7.296,,,,10.990,13.295,16.410,18.137,20.089,21.516,23.767,25.895,29.070,32.531,35.764,35.941,39.533,87.891
CN: GDP: Chongqing,China,Chongqing,"Annual, ending ""Dec"" of each year",RMB bn,Chongqing Municipal Bureau of Statistics,Active,146404401 (CAAHKS),SR1927039,,,,1949,2022,16/02/2023,,,1154.215,830996.579,911.590,0.599,-1.012,0.790,168.781,2912.903,911.322,24,168.781,182.206,201.459,227.980,261.557,305.954,344.835,390.026,477.072,589.949,665.122,806.526,1016.117,1159.537,1302.760,1462.378,1604.054,1802.304,2006.629,2158.880,2360.577,2504.143,2789.402,2912.903
CN: GDP: Sichuan: Chengdu,China,Chengdu,"Annual, ending ""Dec"" of each year",RMB bn,Chengdu Municipal Bureau of Statistics,Active,146404501 (CAAHKT),SR1928253,,,,1949,2022,01/02/2023,,,816.766,420618.518,648.551,0.620,-0.933,0.794,111.516,2081.750,661.739,24,111.516,123.820,139.621,155.062,176.527,206.072,237.016,280.487,347.531,420.695,473.846,588.946,734.532,861.960,945.066,1036.843,1066.231,1187.407,1393.139,1569.894,1701.066,1771.667,1991.698,2081.750
CN: GDP: Sichuan: Zigong,China,Zigong,"Annual, ending ""Dec"" of each year",RMB bn,Zigong Municipal Bureau of Statistics,Active,146404601 (CAAHKU),SR1928238,,,,1991,2022,01/02/2023,,,73.954,2492.801,49.928,0.402,-1.152,0.675,14.290,163.842,68.931,24,14.290,15.196,16.433,18.122,20.279,24.935,27.395,32.000,39.415,48.685,54.105,63.183,74.679,83.200,91.337,94.209,97.027,102.084,116.617,131.474,140.421,145.844,160.131,163.842
CN: GDP: Sichuan: Panzhihua,China,Panzhihua,"Annual, ending ""Dec"" of each year",RMB bn,Panzhihua Municipal Bureau of Statistics,Active,146404701 (CAAHKV),SR1927594,,,,1991,2022,02/02/2023,,,55.528,1226.594,35.023,0.327,-1.059,0.631,10.831,122.052,55.933,24,10.831,11.452,12.416,13.889,16.427,20.083,24.801,29.007,34.526,42.761,42.408,51.909,59.956,62.740,65.233,68.575,71.256,76.293,84.225,94.145,100.202,104.082,113.395,122.052
CN: GDP: Sichuan: Luzhou,China,Luzhou,"Annual, ending ""Dec"" of each year",RMB bn,Luzhou Municipal Bureau of Statistics,Active,146404801 (CAAHKW),SR1927703,,,,1991,2022,01/02/2023,,,100.138,6311.661,79.446,0.628,-0.919,0.793,16.201,260.152,80.242,24,16.201,16.550,17.796,19.222,21.640,25.879,28.491,33.112,40.390,50.842,58.760,71.722,88.762,100.340,115.659,127.912,136.931,150.064,169.891,189.555,207.104,215.722,240.608,260.152
CN: GDP: Sichuan: Deyang,China,Deyang,"Annual, ending ""Dec"" of each year",RMB bn,Deyang Municipal Bureau of Statistics,Active,146404901 (CAAHKX),SR1926706,,,,1991,2022,01/02/2023,,,119.244,6891.153,83.013,0.574,-0.954,0.696,24.345,281.687,101.384,24,24.345,26.007,28.601,31.511,35.538,42.478,46.217,53.920,64.840,69.504,77.989,91.726,111.042,123.455,140.384,146.524,152.577,169.282,190.743,214.839,232.574,240.413,265.656,281.687
CN: GDP: Sichuan: Mianyang,China,Mianyang,"Annual, ending ""Dec"" of each year",RMB bn,Mianyang Municipal Bureau of Statistics,Active,146405001 (CAAHKY),SR1926897,,,,1991,2022,01/02/2023,,,139.010,11265.606,106.140,0.804,-0.628,0.764,31.052,362.694,103.484,24,31.052,31.788,33.009,36.970,39.658,45.494,48.253,56.084,67.350,74.316,82.017,93.587,113.381,126.476,147.041,161.208,174.300,195.791,231.357,261.330,287.049,301.008,335.029,362.694
CN: GDP: Sichuan: Guangyuan,China,Guangyuan,"Annual, ending ""Dec"" of each year",RMB bn,Guangyuan Municipal Bureau of Statistics,Active,146405101 (CAAHKZ),SR1928421,,,,1991,2022,02/02/2023,,,45.721,1272.099,35.666,0.665,-0.901,0.780,8.498,113.978,35.460,24,8.498,8.629,8.789,9.410,10.408,12.747,14.519,16.648,20.846,23.356,27.048,31.685,39.234,45.061,52.025,56.308,61.412,65.727,75.181,88.050,95.320,100.801,111.625,113.978
CN: GDP: Sichuan: Suining,China,Suining,"Annual, ending ""Dec"" of each year",RMB bn,Suining Municipal Bureau of Statistics,Active,146405201 (CAAHLA),SR1927163,,,,1991,2022,01/02/2023,,,64.943,2425.962,49.254,0.629,-0.907,0.758,11.076,161.447,53.782,24,11.076,11.802,12.823,14.062,15.919,19.353,20.659,24.094,30.495,37.267,41.207,48.927,58.636,65.465,70.669,80.900,87.136,92.684,104.643,123.085,133.971,140.318,151.987,161.447
CN: GDP: Sichuan: Neijiang,China,Neijiang,"Annual, ending ""Dec"" of each year",RMB bn,Neijiang Municipal Bureau of Statistics,Active,146405301 (CAAHLB),SR1927249,,,,1991,2022,01/02/2023,,,74.937,2598.841,50.979,0.339,-1.244,0.680,13.312,165.695,71.587,24,13.312,14.480,16.043,17.822,20.032,24.354,25.483,30.129,37.461,48.828,56.088,65.035,78.139,87.783,91.511,97.386,101.800,108.643,118.211,131.883,141.239,146.588,160.553,165.695
CN: GDP: Sichuan: Leshan,China,Leshan,"Annual, ending ""Dec"" of each year",RMB bn,Leshan Municipal Bureau of Statistics,Active,146405401 (CAAHLC),SR1928282,,,,1991,2022,01/02/2023,,,93.804,4964.521,70.459,0.562,-0.922,0.751,14.041,230.881,80.867,24,14.041,14.602,16.108,17.980,21.556,26.577,30.672,36.644,45.297,56.239,61.902,73.206,88.528,98.926,109.693,119.581,128.063,133.540,148.161,170.981,187.260,200.342,220.515,230.881
CN: GDP: Sichuan: Nanchong,China,Nanchong,"Annual, ending ""Dec"" of each year",RMB bn,Nanchong Municipal Bureau of Statistics,Active,146405501 (CAAHLD),SR1928712,,,,1991,2022,01/02/2023,,,109.948,7218.945,84.964,0.589,-1.017,0.773,15.854,268.545,89.396,24,15.854,17.678,20.009,21.911,25.032,30.709,33.527,39.646,50.813,60.195,68.628,80.643,98.148,108.302,128.371,139.170,146.340,159.297,183.825,211.573,230.231,240.108,260.198,268.545
CN: GDP: Sichuan: Meishan,China,Meishan,"Annual, ending ""Dec"" of each year",RMB bn,Meishan Municipal Bureau of Statistics,Active,146405601 (CAAHLE),SR1927845,,,,2000,2022,01/02/2023,,,71.995,2471.343,49.713,0.430,-1.156,0.691,12.480,163.551,64.852,23,,12.480,13.490,14.952,17.405,21.682,24.507,28.083,34.375,41.271,46.533,54.197,64.852,73.649,82.109,90.039,95.867,101.194,114.922,126.990,136.571,142.374,154.787,163.551
CN: GDP: Sichuan: Yibin,China,Yibin,"Annual, ending ""Dec"" of each year",RMB bn,Yibin Municipal Bureau of Statistics,Active,146405701 (CAAHLF),SR1928123,,,,1991,2022,01/02/2023,,,121.326,10142.797,100.711,0.911,-0.311,0.830,17.864,342.784,89.522,24,17.864,20.066,22.939,25.830,29.102,34.903,37.004,42.807,52.905,64.586,72.078,80.784,98.260,111.980,129.347,141.137,147.010,160.956,186.219,234.931,263.311,280.212,314.808,342.784
CN: GDP: Sichuan: Guangan,China,Guangan,"Annual, ending ""Dec"" of each year",RMB bn,Guangan Municipal Bureau of Statistics,Active,146405801 (CAAHLG),SR1928780,,,,1998,2022,02/02/2023,,,64.894,1984.687,44.550,0.404,-1.210,0.687,11.693,142.502,58.580,24,11.693,12.647,13.854,15.444,17.635,21.758,24.632,28.111,33.883,40.490,45.034,53.086,64.073,72.019,79.091,83.846,87.439,92.803,104.767,115.700,125.007,130.157,141.782,142.502
CN: GDP: Sichuan: Dazhou,China,Dazhou,"Annual, ending ""Dec"" of each year",RMB bn,Dazhou Municipal Bureau of Statistics,Active,146405901 (CAAHLH),SR1927768,,,,1999,2022,01/02/2023,,,102.445,5668.102,75.287,0.566,-0.962,0.735,17.664,250.270,87.470,24,17.664,18.784,20.540,22.504,25.514,32.186,34.256,40.040,51.042,60.399,68.273,79.222,95.718,105.524,115.916,127.212,136.656,149.549,169.758,187.953,202.751,211.780,235.167,250.270
CN: GDP: Sichuan: Yaan,China,Yaan,"Annual, ending ""Dec"" of each year",RMB bn,Yaan Municipal Bureau of Statistics,Active,146406001 (CAAHLI),SR1928313,,,,1991,2022,01/02/2023,,,38.686,708.999,26.627,0.472,-1.057,0.688,7.394,90.251,35.801,23,,7.394,8.104,8.952,10.034,12.159,12.646,14.891,17.675,21.322,23.961,29.671,35.801,40.377,42.895,47.579,51.902,56.165,60.854,65.334,72.304,75.459,84.056,90.251
CN: GDP: Sichuan: Bazhong,China,Bazhong,"Annual, ending ""Dec"" of each year",RMB bn,Bazhong Municipal Bureau of Statistics,Active,146406101 (CAAHLJ),SR1928206,,,,2000,2022,01/02/2023,,,37.586,628.635,25.073,0.390,-1.392,0.667,8.401,76.699,33.387,23,,8.401,8.649,9.563,10.823,12.466,12.901,14.608,17.612,21.376,23.832,27.747,33.387,37.467,40.022,47.229,50.768,54.991,60.723,70.466,73.987,76.699,74.251,76.501
CN: GDP: Sichuan: Ziyang,China,Ziyang,"Annual, ending ""Dec"" of each year",RMB bn,Ziyang Municipal Bureau of Statistics,Active,146406201 (CAAHLK),SR1928736,,,,2000,2022,02/02/2023,,,43.497,787.510,28.063,0.330,-1.241,0.645,9.019,94.816,41.859,23,,9.019,9.708,10.327,11.768,14.043,15.646,17.855,22.021,26.944,29.163,34.887,41.859,47.004,50.751,53.709,57.276,64.384,68.854,72.863,77.737,80.750,89.050,94.816
CN: GDP: Guizhou: Guiyang,China,Guiyang,"Annual, ending ""Dec"" of each year",RMB bn,Guiyang Municipal Bureau of Statistics,Active,146406301 (CAAHLL),SR1927884,,,,1991,2022,01/02/2023,,,185.126,24870.216,157.703,0.725,-0.907,0.852,23.983,492.117,122.980,24,23.983,27.151,30.542,33.731,38.615,44.749,50.847,58.146,71.521,86.125,94.551,109.679,136.280,163.416,199.667,228.702,256.430,282.762,327.939,379.845,403.960,431.165,471.104,492.117
CN: GDP: Guizhou: Liupanshui,China,Liupanshui,"Annual, ending ""Dec"" of each year",RMB bn,Liupanshui Municipal Bureau of Statistics,Active,146406401 (CAAHLM),SR1926885,,,,1991,2022,01/02/2023,,,71.127,3034.480,55.086,0.278,-1.638,0.774,7.453,152.569,55.724,24,7.453,8.151,9.051,10.112,11.708,15.110,20.755,25.392,30.084,38.427,43.016,50.063,61.386,75.365,88.211,104.273,120.108,131.370,146.171,152.569,126.597,133.962,147.365,150.358
CN: GDP: Guizhou: Zunyi,China,Zunyi,"Annual, ending ""Dec"" of each year",RMB bn,Zunyi Municipal Bureau of Statistics,Active,146406501 (CAAHLN),SR1927495,,,,1991,2022,01/02/2023,,,155.600,19041.290,137.990,0.813,-0.664,0.887,19.921,440.126,101.511,24,22.596,19.921,21.836,24.289,28.018,32.893,38.859,46.681,56.810,70.049,77.764,90.876,112.146,136.193,158.467,187.436,216.834,240.394,274.859,300.023,348.332,372.005,416.990,440.126
CN: GDP: Guizhou: Anshun,China,Anshun,"Annual, ending ""Dec"" of each year",RMB bn,Anshun Municipal Bureau of Statistics,Active,146406601 (CAAHLO),SR1927170,,,,1991,2022,01/02/2023,,,43.316,1327.236,36.431,0.610,-1.193,0.841,5.846,108.092,28.564,23,,5.846,6.350,7.073,7.875,8.779,10.603,12.374,14.578,16.765,19.570,23.292,28.564,36.762,42.916,52.006,62.541,70.135,80.246,84.940,92.394,96.674,107.891,108.092
CN: GDP: Guizhou: Bijie,China,Bijie,"Annual, ending ""Dec"" of each year",RMB bn,Bijie Municipal Bureau of Statistics,Active,313834001 (CAARGK),SR5004600,,,,2005,2022,01/02/2023,,,119.063,5117.451,71.536,0.051,-1.644,0.601,23.100,220.652,115.432,18,,,,,,,23.100,26.970,33.550,40.298,50.001,60.085,73.788,88.496,104.193,126.670,146.130,162.579,184.161,192.143,190.136,202.039,218.148,220.652
CN: GDP: Guizhou: Tongren,China,Tongren,"Annual, ending ""Dec"" of each year",RMB bn,Tongren Municipal Bureau of Statistics,Active,313833801 (CAARGI),SR5004891,,,,2005,2022,01/02/2023,,,68.869,2249.913,47.433,0.436,-1.267,0.689,12.810,147.719,59.148,18,,,,,,,12.810,14.750,17.920,21.642,25.174,29.362,35.796,45.791,53.522,64.773,77.089,85.697,96.986,106.652,124.916,132.779,146.265,147.719
CN: GDP: Yunnan: Kunming,China,Kunming,"Annual, ending ""Dec"" of each year",RMB bn,Kunming Municipal Bureau of Statistics,Active,146406701 (CAAHLP),SR1927781,,,,1991,2022,06/02/2023,,,313.891,56215.445,237.098,0.598,-1.107,0.755,59.364,754.137,236.327,24,59.364,63.613,67.637,73.400,81.826,94.614,108.013,121.554,142.543,163.400,186.212,216.591,256.063,305.162,350.809,390.237,434.238,475.740,542.970,602.050,647.588,673.379,722.250,754.137
CN: GDP: Yunnan: Qujing,China,Qujing,"Annual, ending ""Dec"" of each year",RMB bn,Qujing Municipal Bureau of Statistics,Active,146406801 (CAAHLQ),SR1928202,,,,1991,2022,06/02/2023,,,132.607,11091.064,105.314,0.899,0.042,0.794,20.016,380.220,110.776,24,20.016,21.312,23.185,25.440,28.161,34.248,44.097,53.683,65.042,78.757,87.094,100.560,120.993,140.017,158.394,164.940,165.026,176.841,194.112,201.336,263.759,295.935,339.391,380.220
CN: GDP: Yunnan: Yuxi,China,Yuxi,"Annual, ending ""Dec"" of each year",RMB bn,Yuxi Municipal Bureau of Statistics,Active,146406901 (CAAHLR),SR1926681,,,,1991,2022,09/02/2023,,,97.974,4849.768,69.640,0.857,-0.258,0.711,27.139,252.057,80.649,24,29.415,29.455,27.139,27.308,28.647,32.790,36.823,41.587,49.593,59.610,64.440,73.644,87.655,100.017,110.247,118.473,124.452,131.188,141.514,149.304,194.971,205.814,235.230,252.057
CN: GDP: Yunnan: Baoshan,China,Baoshan,"Annual, ending ""Dec"" of each year",RMB bn,Baoshan Municipal Bureau of Statistics,Active,146407001 (CAAHLS),SR1927048,,,,1991,2022,09/02/2023,,,44.310,1413.886,37.602,0.920,-0.280,0.849,7.043,126.244,32.324,23,,7.043,7.586,8.109,8.730,9.808,11.742,13.549,16.238,19.405,22.165,26.090,32.324,38.996,44.974,50.098,55.196,61.239,67.895,73.814,96.068,105.258,116.554,126.244
CN: GDP: Yunnan: Zhaotong,China,Zhaotong,"Annual, ending ""Dec"" of each year",RMB bn,Zhaotong Municipal Bureau of Statistics,Active,146407101 (CAAHLT),SR1926719,,,,1991,2022,09/02/2023,,,59.351,2046.630,45.240,0.809,-0.386,0.762,10.808,154.102,51.031,22,,,10.808,11.266,12.126,14.567,16.720,19.562,22.670,27.228,32.045,37.964,46.503,55.560,63.470,67.034,70.838,76.553,83.245,88.954,119.420,128.874,146.206,154.102
CN: GDP: Yunnan: Lijiang,China,Lijiang,"Annual, ending ""Dec"" of each year",RMB bn,Lijiang Municipal Bureau of Statistics,Active,146407201 (CAAHLU),SR1927630,,,,2002,2022,03/02/2023,,,24.171,330.636,18.183,0.738,-0.503,0.752,3.695,62.010,21.224,21,,,,3.695,4.141,5.038,6.033,7.017,8.482,10.115,12.067,14.359,17.850,21.224,24.881,26.184,28.961,30.929,33.948,35.076,47.251,51.275,57.049,62.010
CN: GDP: Yunnan: Puer,China,Puer,"Annual, ending ""Dec"" of each year",RMB bn,Puer Municipal Bureau of Statistics,Active,146407301 (CAAHLV),SR1928328,,,,2003,2022,09/02/2023,,,45.248,1066.769,32.661,0.655,-0.774,0.722,7.700,107.297,39.612,20,,,,,7.700,8.849,10.656,12.468,15.151,17.986,21.170,24.808,30.119,36.685,42.539,47.695,51.401,56.754,62.459,66.248,87.528,94.542,102.915,107.297
CN: GDP: Yunnan: Lincang,China,Lincang,"Annual, ending ""Dec"" of each year",RMB bn,Lincang Municipal Bureau of Statistics,Active,146407401 (CAAHLW),SR1928536,,,,2003,2022,09/02/2023,,,41.708,874.250,29.568,0.542,-0.899,0.709,7.315,100.024,38.453,20,,,,,7.315,8.390,9.651,11.417,13.578,15.687,18.133,21.697,27.243,35.298,41.609,46.512,50.212,55.082,60.406,63.002,75.926,82.132,90.848,100.024
CN: GDP: Tibet: Lhasa,China,Lhasa,"Annual, ending ""Dec"" of each year",RMB bn,Lhasa Municipal Bureau of Statistics,Active,306088901 (CAARAM),SR4698985,,,,1997,2021,03/03/2022,,,28.919,538.902,23.214,0.564,-0.840,0.803,1.880,74.184,24.107,20,3.355,2.000,1.880,2.078,6.420,,,,12.191,14.205,16.328,17.891,22.209,26.004,30.487,34.745,37.673,42.495,47.926,56.710,61.788,67.816,74.184,
CN: GDP: Tibet: Xigaze,China,Xigaze,"Annual, ending ""Dec"" of each year",RMB bn,Xigaze Municipal Bureau of Statistics,Active,313835301 (CAARGX),SR5004863,,,,2005,2021,01/04/2022,,,15.599,94.876,9.740,0.731,-0.636,0.624,4.410,34.826,12.858,17,,,,,,,4.410,5.050,5.890,6.727,7.551,8.640,10.391,11.524,12.858,14.640,16.685,18.775,21.629,25.354,27.949,32.278,34.826,
CN: GDP: Tibet: Qamdu,China,Qamdu,"Annual, ending ""Dec"" of each year",RMB bn,Qamdu Municipal Bureau of Statistics,Active,313835101 (CAARGV),SR5004649,,,,2005,2021,16/05/2022,,,12.240,61.077,7.815,0.725,-0.617,0.639,3.250,27.924,10.450,17,,,,,,,3.250,3.740,4.440,5.137,5.790,6.707,7.540,8.975,10.450,11.711,13.202,14.786,16.983,20.056,22.096,25.289,27.924,
CN: GDP: Tibet: Nyingchi,China,Nyingchi,"Annual, ending ""Dec"" of each year",RMB bn,Nyingchi Municipal Bureau of Statistics,Active,313835601 (CAARHA),SR5004582,,,,2005,2022,03/02/2023,,,10.136,40.366,6.353,0.512,-1.113,0.627,2.450,20.901,8.735,18,,,,,,,2.450,2.750,3.380,3.899,4.577,5.369,6.135,7.239,8.183,9.286,10.433,11.577,13.333,15.737,17.245,19.134,20.901,20.829
CN: GDP: Tibet: Lhokha,China,Lhokha,"Annual, ending ""Dec"" of each year",RMB bn,Lhokha Municipal Bureau of Statistics,Active,313835201 (CAARGW),SR5004154,,,,2005,2021,20/04/2022,,,10.280,46.378,6.810,0.678,-0.720,0.662,2.450,23.727,8.661,17,,,,,,,2.450,2.870,3.320,3.989,4.548,5.305,6.337,7.307,8.661,10.113,11.362,12.653,14.583,17.211,18.777,21.540,23.727,
CN: GDP: Tibet: Narqu,China,Narqu,"Annual, ending ""Dec"" of each year",RMB bn,Narqu Municipal Bureau of Statistics,Active,313835401 (CAARGY),SR5004645,,,,2005,2021,20/04/2022,,,8.762,25.549,5.055,0.652,-0.906,0.577,2.870,18.100,7.288,17,,,,,,,2.870,3.270,3.720,4.219,4.511,5.115,5.803,6.516,7.288,8.339,9.494,10.624,11.982,14.210,15.753,17.141,18.100,
CN: GDP: Shaanxi: Xian,China,Xian,"Annual, ending ""Dec"" of each year",RMB bn,Xian Municipal Bureau of Statistics,Active,146407501 (CAAHLX),SR1928798,,,,1991,2022,01/02/2023,,,442.677,126726.169,355.986,0.659,-0.877,0.804,61.370,1148.651,349.338,24,61.370,64.613,73.486,82.668,92.612,109.235,129.405,151.256,185.775,231.326,268.906,319.505,379.171,437.016,496.023,557.698,593.286,639.636,741.804,849.941,939.998,1002.039,1068.828,1148.651
CN: GDP: Shaanxi: Tongchuan,China,Tongchuan,"Annual, ending ""Dec"" of each year",RMB bn,Tongchuan Municipal Bureau of Statistics,Active,146407601 (CAAHLY),SR1928063,,,,1991,2022,01/02/2023,,,19.920,202.771,14.240,0.487,-0.832,0.715,3.455,50.555,18.350,24,3.881,3.455,3.708,4.090,4.743,5.684,6.808,8.006,9.538,11.857,13.750,16.509,20.190,23.614,27.810,27.895,26.641,27.034,30.095,33.192,36.915,38.175,43.941,50.555
CN: GDP: Shaanxi: Baoji,China,Baoji,"Annual, ending ""Dec"" of each year",RMB bn,Baoji Municipal Bureau of Statistics,Active,146407701 (CAAHLZ),SR1928818,,,,1991,2022,01/02/2023,,,113.987,6907.370,83.111,0.483,-1.115,0.729,18.277,274.310,96.090,24,18.277,19.534,22.188,25.037,28.132,34.078,39.081,46.265,54.810,65.864,73.820,87.783,104.398,122.596,137.451,146.838,158.502,170.294,191.492,211.094,221.276,227.695,254.871,274.310
CN: GDP: Shaanxi: Xianyang,China,Xianyang,"Annual, ending ""Dec"" of each year",RMB bn,Xianyang Municipal Bureau of Statistics,Active,146407801 (CAAHMA),SR1926971,,,,1991,2022,01/02/2023,,,122.967,7347.439,85.717,0.282,-1.410,0.697,20.820,281.755,111.095,24,20.820,23.446,25.708,28.189,31.261,36.346,40.931,45.726,56.068,71.733,80.440,99.782,122.408,140.759,164.803,181.029,192.577,202.564,191.660,213.545,221.048,220.481,258.132,281.755
CN: GDP: Shaanxi: Weinan,China,Weinan,"Annual, ending ""Dec"" of each year",RMB bn,Weinan Municipal Bureau of Statistics,Active,146407901 (CAAHMB),SR1927326,,,,1991,2022,02/02/2023,,,95.690,4703.338,68.581,0.346,-1.317,0.717,15.219,220.113,87.023,24,15.219,16.547,18.145,20.153,22.483,27.255,31.496,36.132,44.318,54.481,60.689,76.340,97.706,110.463,126.071,135.345,136.442,141.040,154.701,172.433,183.653,186.627,208.721,220.113
CN: GDP: Shaanxi: Yanan,China,Yanan,"Annual, ending ""Dec"" of each year",RMB bn,Yanan Municipal Bureau of Statistics,Active,146408001 (CAAHMC),SR1926798,,,,1991,2022,01/02/2023,,,94.424,3961.577,62.941,0.264,-0.891,0.667,8.125,223.193,97.219,24,8.125,13.063,15.833,17.971,21.802,27.002,37.928,52.464,64.017,74.523,71.139,86.319,109.057,126.185,135.420,140.246,119.585,108.120,130.811,155.533,167.227,160.148,200.458,223.193
CN: GDP: Shaanxi: Hanzhong,China,Hanzhong,"Annual, ending ""Dec"" of each year",RMB bn,Hanzhong Municipal Bureau of Statistics,Active,146408101 (CAAHMD),SR1927358,,,,1991,2022,01/02/2023,,,74.201,3511.256,59.256,0.605,-1.033,0.799,11.923,190.545,56.247,24,13.552,11.923,12.932,14.131,16.071,18.904,21.046,24.312,29.556,36.175,40.448,49.595,62.898,73.324,87.504,98.440,103.489,112.114,128.663,142.947,156.045,159.340,176.872,190.545
CN: GDP: Shaanxi: Yulin,China,Yulin,"Annual, ending ""Dec"" of each year",RMB bn,Yu lin Municipal Bureau of Statistics,Active,146408201 (CAAHME),SR1927102,,,,1991,2022,01/02/2023,,,207.392,33325.416,182.553,0.771,-0.015,0.880,6.231,654.365,194.806,24,6.231,10.505,12.931,16.283,20.010,27.113,42.638,57.053,77.829,113.777,126.128,168.681,220.931,260.193,274.631,291.742,246.120,272.524,328.495,381.828,414.912,408.966,543.518,654.365
CN: GDP: Shaanxi: Ankang,China,Ankang,"Annual, ending ""Dec"" of each year",RMB bn,Ankang Municipal Bureau of Statistics,Active,146408301 (CAAHMF),SR1927819,,,,1991,2022,01/02/2023,,,53.364,1794.210,42.358,0.503,-1.315,0.794,7.480,126.865,39.580,23,,7.480,8.074,9.108,10.338,11.655,13.816,15.813,18.837,23.957,26.872,31.961,39.580,48.361,60.304,68.014,74.404,82.508,94.888,106.517,118.206,108.878,120.949,126.865
CN: GDP: Shaanxi: Shangluo,China,Shangluo,"Annual, ending ""Dec"" of each year",RMB bn,Shangluo Municipal Bureau of Statistics,Active,146408401 (CAAHMG),SR1927050,,,,2000,2022,01/02/2023,,,39.497,880.204,29.668,0.386,-1.408,0.751,5.547,90.256,33.211,23,,5.547,5.889,6.563,7.472,10.146,10.901,13.097,15.354,18.774,20.788,26.407,33.211,38.721,46.848,52.590,56.100,62.107,67.753,77.533,83.201,73.946,85.229,90.256
CN: GDP: Gansu: Lanzhou,China,Lanzhou,"Annual, ending ""Dec"" of each year",RMB bn,Lanzhou Municipal Bureau of Statistics,Active,146408501 (CAAHMH),SR1927825,,,,1991,2021,07/02/2023,,,140.575,9380.886,96.855,0.454,-1.224,0.689,26.746,323.129,112.959,23,26.746,30.032,34.168,38.641,44.085,50.815,57.665,64.942,74.633,86.814,93.885,112.959,139.166,161.316,181.024,197.777,210.225,220.742,244.508,266.019,285.251,288.674,323.129,
CN: GDP: Gansu: Jiayuguan,China,Jiayuguan,"Annual, ending ""Dec"" of each year",RMB bn,Jiayuguan Municipal Bureau of Statistics,Active,146408601 (CAAHMI),SR1927691,,,,1991,2022,02/03/2023,,,16.777,117.405,10.835,0.013,-1.193,0.646,1.688,36.260,17.218,24,1.688,1.793,2.064,2.403,3.177,4.444,8.131,9.866,12.018,14.410,16.005,18.432,23.554,26.915,22.622,24.306,19.004,15.341,21.099,29.962,28.340,28.160,32.650,36.260
CN: GDP: Gansu: Jinchang,China,Jinchang,"Annual, ending ""Dec"" of each year",RMB bn,Jinchang Municipal Bureau of Statistics,Active,146408701 (CAAHMJ),SR1927026,,,,1991,2022,08/02/2023,,,20.505,157.758,12.560,0.596,0.530,0.613,3.129,52.252,21.187,24,3.129,3.507,4.006,4.520,5.416,8.553,11.587,15.261,21.322,19.443,19.475,21.051,23.236,24.340,25.204,25.610,22.452,20.782,22.149,26.424,33.685,35.862,42.861,52.252
CN: GDP: Gansu: Baiyin,China,Baiyin,"Annual, ending ""Dec"" of each year",RMB bn,Baiyin Municipal Bureau of Statistics,Active,146408801 (CAAHMK),SR1927765,,,,1991,2022,02/02/2023,,,31.916,321.297,17.925,-0.025,-1.438,0.562,7.185,63.553,34.351,24,7.185,7.703,8.418,9.518,10.534,12.633,14.654,17.571,20.752,24.428,26.533,31.118,37.583,43.377,46.331,44.764,43.427,44.221,45.052,51.160,48.633,49.727,57.102,63.553
CN: GDP: Gansu: Tianshui,China,Tianshui,"Annual, ending ""Dec"" of each year",RMB bn,Tianshui Municipal Bureau of Statistics,Active,146408901 (CAAHML),SR1928470,,,,1991,2022,01/02/2023,,,37.124,591.569,24.322,0.279,-1.414,0.655,7.363,81.388,32.889,24,7.363,8.111,8.856,9.881,11.010,12.825,14.617,16.639,19.621,22.680,26.000,30.023,35.755,41.287,47.897,52.282,55.377,59.267,59.895,65.205,63.267,66.690,75.033,81.388
